"scenario","scenario_plot","rho","outcome","conditional_probability","conditional_probability_pct"
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0,"Win",0.500248289189688,50.0248289189688
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.2,"Win",0.49509146957503,49.509146957503
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.4,"Win",0.48936132004993,48.936132004993
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.6,"Win",0.481959537216933,48.1959537216933
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.8,"Win",0.469479633259575,46.9479633259575
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0,"Loss",0.285641582105786,28.5641582105786
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.2,"Loss",0.28649286183395,28.649286183395
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.4,"Loss",0.279490076211909,27.9490076211909
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.6,"Loss",0.260510311301418,26.0510311301418
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.8,"Loss",0.215455412548617,21.5455412548617
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0,"Tie",0.214110128704526,21.4110128704526
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.2,"Tie",0.21841566859102,21.841566859102
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.4,"Tie",0.231148603738161,23.1148603738161
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.6,"Tie",0.257530151481649,25.7530151481649
"S1: Continuous + Continuous","S1: Cont+Cont (m=n=274)",0.8,"Tie",0.315064954191808,31.5064954191808
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0,"Win",0.279758316828535,27.9758316828535
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.2,"Win",0.269767056171041,26.9767056171041
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.4,"Win",0.254300163105187,25.4300163105187
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.6,"Win",0.230631159328019,23.0631159328019
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.8,"Win",0.191613267436675,19.1613267436675
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0,"Loss",0.180199658437014,18.0199658437014
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.2,"Loss",0.183101250112726,18.3101250112726
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.4,"Loss",0.179005692575209,17.9005692575209
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.6,"Loss",0.165863163122855,16.5863163122855
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.8,"Loss",0.137680848260679,13.7680848260679
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0,"Tie",0.540042024734451,54.0042024734451
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.2,"Tie",0.547131693716234,54.7131693716234
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.4,"Tie",0.566694144319604,56.6694144319604
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.6,"Tie",0.603505677549126,60.3505677549126
"S2: Continuous + Binary","S2: Cont+Bin (m=n=269)",0.8,"Tie",0.670705884302646,67.0705884302646
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0,"Win",0.439620726711159,43.9620726711159
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.2,"Win",0.431729379002891,43.1729379002891
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.4,"Win",0.422261175020834,42.2261175020834
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.6,"Win",0.409836126690482,40.9836126690482
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.8,"Win",0.392877122717102,39.2877122717102
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0,"Loss",0.324872157770171,32.4872157770171
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.2,"Loss",0.330031620981804,33.0031620981804
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.4,"Loss",0.332124609547908,33.2124609547908
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.6,"Loss",0.33087739307469,33.087739307469
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.8,"Loss",0.323878924111732,32.3878924111732
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0,"Tie",0.23550711551867,23.550711551867
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.2,"Tie",0.238239000015305,23.8239000015305
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.4,"Tie",0.245614215431258,24.5614215431258
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.6,"Tie",0.259286480234828,25.9286480234828
"S3: Survival + Continuous","S3: Surv+Cont (m=n=239)",0.8,"Tie",0.283243953171166,28.3243953171166
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0,"Win",0.335372406200403,33.5372406200403
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.2,"Win",0.325405409749313,32.5405409749313
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.4,"Win",0.31120617761871,31.120617761871
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.6,"Win",0.290022380880346,29.0022380880346
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.8,"Win",0.256528941672101,25.6528941672101
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0,"Loss",0.239924993017316,23.9924993017316
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.2,"Loss",0.244332470376662,24.4332470376662
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.4,"Loss",0.243196359332682,24.3196359332682
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.6,"Loss",0.235453470082987,23.5453470082987
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.8,"Loss",0.216256913252126,21.6256913252126
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0,"Tie",0.424702600782281,42.4702600782281
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.2,"Tie",0.430262119874025,43.0262119874025
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.4,"Tie",0.445597463048607,44.5597463048607
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.6,"Tie",0.474524149036667,47.4524149036667
"S4: Binary + Continuous","S4: Bin+Cont (m=n=239)",0.8,"Tie",0.527214145075773,52.7214145075773
