"scenario","fixed_n","rho","wr_calculated_power_pct","scenario_plot"
"S1: Continuous + Continuous",274,0,85.03,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.2,83.16,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.4,83.04,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.6,84.9,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.8,90.5,"S1: Cont+Cont"
"S2: Continuous + Binary",269,0,85.05,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.2,81.74,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.4,78.47,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.6,75.42,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.8,72.67,"S2: Cont+Bin"
"S3: Survival + Continuous",239,0,85.05,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.2,81.62,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.4,78.27,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.6,74.78,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.8,71.73,"S3: Surv+Cont"
"S4: Binary + Continuous",239,0,85.14,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.2,81.38,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.4,77.47,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.6,73.43,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.8,69.31,"S4: Bin+Cont"
